hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Atlet Ayağı (Tinea Pedis),"28. Koştuktan sonra ayak parmaklarımın arasındaki deri kızarıyor, kaşınıyor ve pul pul dökülüyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"29. Ayak parmak aralarımda, özellikle koştuktan sonra  kaşıntı ve yanma hissi var.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"30. Parmak aralarım o kadar kaşınıyor ki,  kaşımaktan kendimi alamıyorum.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kontakt Dermatit,"1. Göz kapaklarım şişmiş ve kaşınıyor, ayrıca acıyor. Dün yeni bir far denedim, acaba ondan mı?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"2. Göz kapaklarımda şişlik ve kaşıntı var, biraz da ağrı hissediyorum. Yeni farımdan şüpheleniyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"3. Göz kapaklarım şiş, kaşınıyor ve acıyor. Dün kullandığım yeni far alerji yapmış olabilir mi?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"4. Gözlerim şiş ve kaşınıyor, dokununca acıyor. Acaba dün sürdüğüm yeni fardan mıdır?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"5. Göz kapaklarımda şişlik, kaşıntı ve ağrı var. Dün yeni bir far kullandım, sebebi o olabilir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"6. Gözlerim kızarmış ve şişmiş gibi, kaşınıyor ve acıyor. Dün denediğim farı suçluyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"7. Göz kapaklarımda ödem var, kaşınıyor ve hassas. Dün yeni bir far denemiştim.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"8. Göz çevrem şiş, kaşıntılı ve dokununca acıyor. Dün yeni bir far kullandığım için olabilir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"9. Göz kapaklarım şişmiş, kaşınıyor ve yanma hissi var. Dün sürdüğüm fardan olabilir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"10. Gözlerimde şişlik ve kaşıntı var, ayrıca hassaslaşmış. Dün yeni far denedim.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"11. Göz kapaklarımda bir şişkinlik hissediyorum, kaşınıyor ve biraz sızlıyor. Yeni farımla alakası olabilir mi?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"12. Göz kapaklarım kızarmış, şiş ve kaşıntılı, üstelik acıyor da. Yeni farımdan şüpheleniyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"13. Gözlerim sulanıyor, kapaklarım şiş ve kaşınıyor. Dün yeni bir far denedim.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"14. Göz çevrem şişkin, kaşınıyor ve ağrıyor.  Dün yeni bir far kullanmıştım.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"15. Göz kapaklarımda bir tuhaflık var, şişmişler, kaşınıyorlar ve acı veriyorlar. Dün yeni bir far kullandım.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"16. Göz kapaklarım şiş ve kaşıntılı, dokununca acı hissediyorum. Yeni far yüzünden olabilir mi?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"17. Gözlerimin etrafı şişmiş, kaşınıyor ve yanıyor gibi. Sanırım dün denediğim yeni fardan kaynaklanıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"18. Gözlerimdeki şişlik, kaşıntı ve ağrı beni rahatsız ediyor. Acaba dün kullandığım far mı yaptı?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"19. Göz kapaklarımda ödem oluşmuş, hem kaşınıyor hem de ağrı yapıyor. Dün yeni bir far denemiştim, ondan olabilir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"20. Gözlerim şişkin, kaşıntılı ve acı veriyor. Dünden beri yeni bir far kullanıyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"21. Göz kapaklarımda rahatsız edici bir şişlik ve kaşıntı var, aynı zamanda acıyorlar. Dün yeni bir far sürdüm.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"22. Göz çevremde şişlik var, kaşınıyor ve biraz ağrı hissediyorum. Dün yeni bir far denedim acaba ondan mı?",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"23. Göz kapaklarım hem şişmiş hem de kaşınıyor, bir de üstüne acıyor. Dün yeni bir far kullandım, belki de sebebi budur.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"24. Gözlerim kızarmış, şişmiş ve kaşınıyor, ayrıca acı da hissediyorum. Dün kullandığım yeni fardan şüpheleniyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"25. Göz kapaklarımda belirgin bir şişlik var, kaşınıyor ve hassas hissediyorum. Dün yeni bir far kullanmıştım.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"26. Gözlerimde şişlik ve kaşıntı var, dokunduğumda acıyor.  Dün yeni far kullandım.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"27.  Göz kapaklarımda şişlik, kaşıntı ve yanma hissi var. Yeni denediğim fardan kaynaklanıyor olabilir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"28. Gözlerim sulu ve şiş, ayrıca kaşınıyor ve acıyor. Dün yeni bir far kullandım.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,29. Göz çevremde rahatsızlık verici bir şişlik ve kaşıntı var. Dokunduğumda acı hissediyorum. Dün yeni bir far denedim.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"30. Göz kapaklarım oldukça şişmiş, kaşınıyor ve acı veriyor. Dün sürdüğüm yeni fardan olabilir diye düşünüyorum.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,1. Kardeşimde vitiligo var ve parmaklarımda da beyaz lekeler oluşmaya başladı. Ben de vitiligo mu oluyorum diye endişeleniyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,2. Parmaklarımda kardeşiminkine benzer beyaz lekeler gördüm. Vitiligo bulaşıcı mıdır?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,3. Kardeşim gibi bende de vitiligo olma ihtimali beni korkutuyor. Parmaklarımdaki beyaz lekeler için ne yapmalıyım?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,4. Parmaklarımda vitiligo belirtisi olabilecek beyaz lekeler var. Bu lekelerin yayılmasını nasıl önleyebilirim?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,5. Kardeşim vitiligo hastası ve şimdi bende de benzer belirtiler görüyorum. Bu hastalık genetik midir?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,6. Parmaklarımdaki beyaz lekeler beni vitiligo konusunda endişelendiriyor. Bu konuda ne yapabilirim?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,7. Vitiligo ailesel midir? Kardeşimde olduğu gibi bende de parmaklarımda beyaz lekeler çıktı.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,8. Kardeşim vitiligo hastası. Benim parmaklarımdaki beyaz lekeler de aynı hastalıktan mı kaynaklanıyor olabilir?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,9. Parmaklarımda vitiligo benzeri beyaz lekeler belirdi.  Hastalığın ilerlemesini durdurmanın bir yolu var mı?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,10. Kardeşim gibi ben de vitiligo olmak istemiyorum. Parmaklarımdaki lekeler için ne önerirsiniz?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,11. Parmak uçlarımda beyaz lekeler çıktı.  Kardeşimin vitiligo hastalığıyla bir ilgisi olabilir mi?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,12. Vitiligo genetik mi? Kardeşimde var ve şimdi bende de benzer lekeler çıktı.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,13. Kardeşim vitiligo hastası ve parmaklarımda da aynı hastalığın belirtileri gibi duran beyaz lekeler var. Ne yapmam gerekiyor?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,14. Parmaklarımda beyaz lekeler oluştu ve kardeşimde vitiligo olduğu için endişeliyim.  Bu lekelerin yayılmaması için ne yapabilirim?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,15. Kardeşimde vitiligo var. Benim parmaklarımdaki beyaz lekeler de vitiligodan mıdır?  Bir doktora görünmeli miyim?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,16. Parmaklarımda çıkan beyaz lekeler beni korkutuyor. Kardeşimde vitiligo var ve bende de aynı hastalık olabilir mi?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,17. Vitiligonun ilerlemesini nasıl engelleyebilirim? Kardeşim bu hastalığa sahip ve bende de benzer belirtiler var.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,18. Kardeşim vitiligo hastası.  Benim de parmaklarımda beyaz lekeler var ve bu hastalığa yakalanmaktan korkuyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,19. Parmaklarımda çıkan beyaz lekeler vitiligo olabilir mi? Kardeşimde de bu hastalık var.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,20. Kardeşim vitiligodan muzdarip. Benim de parmaklarımda beyaz lekeler var ve  hastalığın ilerlemesinden endişe ediyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,21. Parmaklarımda  beyaz lekeler belirdi. Kardeşimin vitiligo rahatsızlığından dolayı ben de aynı hastalığa yakalanacağımdan korkuyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,"22. Kardeşimde vitiligo var, ben de parmaklarımda beyaz lekeler fark ettim. Bu durum genetik olabilir mi?",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,23. Parmaklarımda oluşan beyaz lekeler vitiligo belirtisi mi? Kardeşimde de bu hastalık var ve ben de yakalanmaktan endişeleniyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,24. Vitiligo bulaşıcı bir hastalık mı? Kardeşim vitiligo hastası ve ben de parmaklarımda beyaz lekeler görüyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,25. Kardeşim gibi vitiligo hastası olmak istemiyorum. Parmaklarımdaki beyaz lekeler için önerebileceğiniz bir çözüm var mı?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,26. Parmaklarımda beyaz lekeler oluştu. Kardeşimde vitiligo olduğu için ben de bu hastalığa yakalandığımdan şüpheleniyorum. Ne yapmalıyım?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,27. Kardeşim vitiligo hastası. Benim parmaklarımda da son zamanlarda beyaz lekeler belirmeye başladı. Bu hastalık kalıtsal mıdır?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,28. Parmaklarımdaki beyaz lekelerin vitiligo olup olmadığını nasıl anlayabilirim? Kardeşimde bu hastalık var ve ben de aynı belirtileri gösteriyorum.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,29. Vitiligonun tedavisi var mı? Kardeşim bu hastalıktan muzdarip ve ben de parmaklarımda benzer beyaz lekeler fark ettim.,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Vitiligo,30. Kardeşim vitiligo hastası ve ben de parmaklarımda beyaz lekeler görüyorum. Bu lekelerin yayılmasını engellemek için ne gibi önlemler alabilirim?,tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Uyuz,1. Hamileliğimin son haftalarındayım ve karnımla göğüslerimde dayanılmaz bir kaşıntı var.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"2. Doğumuma birkaç hafta kala, karnım ve göğüslerimde şiddetli kaşıntı yaşıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"3. Karnım ve göğüslerimde çok kaşınıyor, doğumuma sadece birkaç hafta kaldı.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,4. Yakında doğum yapacağım ve karnımla göğüslerimdeki kaşıntı beni çok rahatsız ediyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,5. Hamileliğimin son döneminde karnım ve göğüslerimde aşırı kaşıntı hissediyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"6. Doğumuma az kaldı ve karnımla göğüslerim çok kaşınıyor, geceleri uyuyamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,7. Karnım ve göğüslerimdeki kaşıntı yüzünden geceleri uyuyamıyorum ve doğumuma birkaç hafta kaldı.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"8. Hamileliğimin son haftalarında, karnım ve göğüslerimde oluşan kaşıntı uykusuzluğa neden oluyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"9. Bebeğimin doğumuna az bir süre kala, karnım ve göğüslerimdeki kaşıntı beni çok rahatsız ediyor ve uyutmuyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"10. Kaşıntıdan dolayı geceleri uyuyamıyorum. Karnım ve göğüslerim çok kaşınıyor, birkaç haftaya doğum yapacağım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"11. Doğum yaklaşırken, karnım ve göğüslerimdeki kaşıntı dayanılmaz hale geldi.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,12. Karnım ve göğüslerimde şiddetli bir kaşıntı var ve bu durum doğumuma yakınlaştıkça artıyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,13. Birkaç hafta içinde doğum yapacağım ve karnımla göğüslerimdeki kaşıntı beni deli ediyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"14. Hamileliğimin son evresinde, karnım ve göğüslerimdeki kaşıntıdan dolayı çok rahatsızım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,15. Doğumuma çok az kaldı ve karnımla göğüslerimdeki kaşıntı giderek artıyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"16. Geceleri beni uyutmayan karnım ve göğüslerimdeki kaşıntı hakkında endişeliyim, çünkü yakında doğum yapacağım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"17. Doğumuma haftalar kala, karnım ve göğüslerimdeki kaşıntıdan dolayı endişeleniyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"18. Bebeğime bir şey olacak diye korkuyorum, çünkü karnım ve göğüslerim çok kaşınıyor ve yakında doğum yapacağım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"19. Karnım ve göğüslerimdeki kaşıntının bebeğime geçmesinden endişeleniyorum, özellikle de doğuma az kaldığı için.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"20. Doğum yaklaşırken, karnım ve göğüslerimdeki kaşıntının bebeğime zarar verip vermeyeceğini merak ediyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"21. Bu kaşıntı bebeğime de geçer mi diye korkuyorum, çünkü karnım ve göğüslerim çok kaşınıyor ve birkaç hafta içinde doğum yapacağım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"22.  Karnım ve göğüslerimdeki kaşıntı beni çok rahatsız ediyor ve bebeğim için endişeleniyorum, çünkü yakında doğacak.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"23. Doğumuma az bir zaman kala, karnım ve göğüslerimdeki bu şiddetli kaşıntının bebeğime bir zararı olur mu diye düşünüyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,24. Yakında kucağıma alacağım bebeğim için endişeleniyorum. Karnım ve göğüslerimdeki kaşıntı dayanılmaz hal aldı.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
